CPT_code_1,CPT_code_2,In_Existence,Effective_Date,Deletion_Date,Modifier,PTP_Edit_Rationale
25515,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25515,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25515,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25515,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25515,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25515,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25515,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25515,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25515,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25520,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25520,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25520,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25520,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25520,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25520,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25520,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25520,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25520,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25525,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25525,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25525,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25525,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25525,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25525,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25525,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25525,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25525,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25526,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25526,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25526,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25526,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25526,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25526,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25526,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25526,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25526,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25530,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25530,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25530,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25530,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25530,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25530,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25530,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25530,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25530,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25535,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25535,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25535,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25535,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25535,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25535,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25535,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25535,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25535,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25545,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25545,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25545,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25545,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25545,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25545,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25545,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25545,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25545,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25560,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25560,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25560,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25560,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25560,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25560,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25560,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25560,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25560,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25565,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25565,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25565,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25565,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25565,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25565,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25565,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25565,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25565,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25574,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25574,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25574,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25574,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25574,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25574,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25574,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25574,64473,,20250401,*,1,Misuse of Column Two code with Column One code
25574,64474,,20250401,*,1,Misuse of Column Two code with Column One code
25575,0903T,,20250701,*,1,Misuse of Column Two code with Column One code
25575,0904T,,20250701,*,1,Misuse of Column Two code with Column One code
25575,0905T,,20250701,*,1,Misuse of Column Two code with Column One code
25575,64466,,20250401,*,1,Misuse of Column Two code with Column One code
25575,64467,,20250401,*,1,Misuse of Column Two code with Column One code
25575,64468,,20250401,*,1,Misuse of Column Two code with Column One code
25575,64469,,20250401,*,1,Misuse of Column Two code with Column One code
25575,64473,,20250401,*,1,Misuse of Column Two code with Column One code
