hcpcs_code,hcpcs_desc,hcpcs_effectivedt,hcpcs_terminationdt
S5180,"Home health respiratory therapy, initial evaluation                                                                                                   ",2003-01-01 05:00:00,
S5181,"Home health respiratory therapy, nos, per diem                                                                                                        ",2003-01-01 05:00:00,
S5497,"Home infusion therapy, catheter care / maintenance, not otherwise classified;includes administrative services, professional pharmacy services, care   ",2002-01-01 05:00:00,
S5498,"Home infusion therapy, catheter care / maintenance, simple (single lumen),includes administrative services, professional pharmacy services, care      ",2002-01-01 05:00:00,
S5501,"Home infusion therapy, catheter care / maintenance, complex (more than onelumen), includes administrative services, professional pharmacy servic      ",2002-01-01 05:00:00,
S5502,"Home infusion therapy, catheter care / maintenance, implanted access device,includes administrative services, professional pharmacy services, care    ",2002-01-01 05:00:00,
S5517,"Home infusion therapy, all supplies necessary for restoration of catheterpatency or declotting                                                        ",2002-01-01 05:00:00,
S5518,"Home infusion therapy, all supplies necessary for catheter repair                                                                                     ",2002-01-01 05:00:00,
S5520,"Home infusion therapy, all supplies (including catheter) necessary for aperipherally inserted central venous catheter (picc) line insertion           ",2002-01-01 05:00:00,
S5521,"Home infusion therapy, all supplies (including catheter) necessary for amidline catheter insertion                                                    ",2002-01-01 05:00:00,
S5522,"Home infusion therapy, insertion of peripherally inserted central venouscatheter (picc), nursing services only (no supplies or catheter includ        ",2002-01-01 05:00:00,
S5523,"Home infusion therapy, insertion of midline venous catheter, nursing servicesonly (no supplies or catheter included)                                  ",2006-07-01 04:00:00,
S5560,"Insulin delivery device, reusable pen; 1.5 ml size                                                                                                    ",2003-10-01 04:00:00,
S5570,"Insulin delivery device, disposable pen (including insulin); 1.5 ml size                                                                              ",2003-10-01 04:00:00,
S8037,Magnetic resonance cholangiopancreatography (mrcp)                                                                                                    ,2001-07-01 04:00:00,
G0162,Skilled services by a registered nurse (rn) for management and evaluation of the plan of care; each 15 minutes (the patient's underlying condition    ,2011-01-01 05:00:00,
G0163,"Skilled services of a licensed nurse (lpn or rn) for the observation and assessment of the patient's condition, each 15 minutes (the change in        ",2011-01-01 05:00:00,
G0164,"Skilled services of a licensed nurse (lpn or rn), in the training and/or education of a patient or family member, in the home health or hospice       ",2011-01-01 05:00:00,
G0173,"Linear accelerator based stereotactic radiosurgery, complete course of therapy in one session                                                         ",2015-01-01 05:00:00,1420002000000.0
G0175,Scheduled interdisciplinary team conference (minimum of three exclusive of patient care nursing staff) with patient present                           ,2000-07-01 04:00:00,
G0176,"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling m          ",2001-01-01 05:00:00,
G0177,Training and educational services related to the care and treatment of patient's disabling mental health problems per session (45 minutes or          ,2001-01-01 05:00:00,
G0179,"Physician re-certification for medicare-covered home health  services under a home health plan of care (patient not present), including contacts wit  ",2001-01-01 05:00:00,
G0180,"Physician certification for medicare-covered home health  services under a home health plan of care (patient not present), including contacts with hom",2000-10-01 04:00:00,
G0181,Physician supervision of a patient receiving medicare-covered services provided by a participating home health agency (patient not present) requiring ,2001-01-01 05:00:00,
G0182,Physician supervision of a patient under a medicare-approved hospice (patient not present) requiring complex and multidisciplinary care modalities i  ,2001-01-01 05:00:00,
G0186,"Destruction of localized lesion of choroid (for example, choroidal neovascularization); photocoagulation, feeder vessel technique (one or             ",2001-01-01 05:00:00,
G0204,"Diagnostic mammography, producing direct 2-d digital image, bilateral, all views                                                                      ",2015-01-01 05:00:00,
G0206,"Diagnostic mammography, producing direct 2-d digital image, unilateral, all views                                                                     ",2015-01-01 05:00:00,
G0237,"Therapeutic procedures to increase strength or endurance of respiratory muscles, face to face, one on one, each 15 minutes (includes monitorin        ",2004-10-01 04:00:00,
G0238,"Therapeutic procedures to improve respiratory function, other than described by g0237, one on one, face to face, per 15 minutes (includes monitoring) ",2004-10-01 04:00:00,
G0239,"Therapeutic procedures to improve respiratory function or increase strength or endurance of respiratory muscles, two or more individuals (includes mo ",2004-10-01 04:00:00,
G0245,Initial physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) ,2002-07-01 04:00:00,
G0246,Follow-up physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensatio       ,2002-07-01 04:00:00,
G0247,Routine foot care by a physician of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to inclu   ,2015-01-01 05:00:00,
G0248,"Demonstration, prior to initiation of home inr monitoring, for patient with either mechanical heart valve(s), chronic atrial fibrillation, or veno    ",2008-03-19 04:00:00,
G0249,"Provision of test materials and equipment for home inr monitoring of patient with either mechanical heart valve(s), chronic atrial fibrillation, or   ",2008-03-19 04:00:00,
G0250,"Physician review, interpretation, and patient management of home inr testing for patient with either mechanical heart valve(s), chronic atrial fibr   ",2008-03-19 04:00:00,
G0251,"Linear accelerator based stereotactic radiosurgery, delivery including collimator changes and custom plugging, fractionated treatment, all le         ",2015-01-01 05:00:00,1420002000000.0
G0252,"Pet imaging, full and partial-ring pet scanners only, for initial diagnosis of breast cancer and/or surgical planning for breast cancer (e.g. initial ",2002-10-01 04:00:00,
G0255,"Current perception threshold/sensory nerve conduction test, (snct) per limb, any nerve                                                                ",2002-10-01 04:00:00,
G0257,Unscheduled or emergency dialysis treatment for an esrd patient in a hospital outpatient department that is not certified as an esrd facility         ,2003-01-01 05:00:00,
G0260,"Injection procedure for sacroiliac joint; provision of anesthetic, steroid and/or other therapeutic agent, with or without arthrography               ",2004-10-01 04:00:00,
G0268,Removal of impacted cerumen (one or both ears) by physician on same date of service as audiologic function testing                                    ,2003-01-01 05:00:00,
G0269,"Placement of occlusive device into either a venous or arterial access site, post surgical or interventional procedure (e.g. angioseal plug, vascul    ",2003-01-01 05:00:00,
G0270,"Medical nutrition therapy; reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medica         ",2003-01-01 05:00:00,
G0271,"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medica         ",2003-01-01 05:00:00,
G0275,"Renal angiography, non-selective, one or both kidneys, performed at the same time as cardiac catheterization and/or coronary angiography, includes    ",2014-01-01 05:00:00,1388466000000.0
G0276,"Blinded procedure for lumbar stenosis,  percutaneous image-guided lumbar decompression (pild) or placebo-control, performed in an  approved cov       ",2014-01-09 05:00:00,
G0277,"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval                                                                           ",2015-01-01 05:00:00,
G0278,"Iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardi           ",2008-01-01 05:00:00,
G0279,"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to g0204 or g0206)                                      ",2015-01-01 05:00:00,
G0281,"Electrical stimulation, (unattended), to one or more areas, for chronic stage iii and stage iv pressure ulcers, arterial ulcers, diabetic ulcers, an  ",2003-04-01 05:00:00,
G0282,"Electrical stimulation, (unattended), to one or more areas, for wound care other than described in g0281                                              ",2003-04-01 05:00:00,
G0283,"Electrical stimulation (unattended), to one or more areas for indication(s) other than wound care, as part of a therapy plan of care                  ",2003-01-01 05:00:00,
G0288,"Reconstruction, computed tomographic angiography of aorta for surgical planning for vascular surgery                                                  ",2006-01-01 05:00:00,
G0289,"Arthroscopy, knee, surgical, for removal of loose body, foreign body, debridement/shaving of articular cartilage (chrondroplasty) at the tim          ",2003-01-01 05:00:00,
G0290,"Transcatheter placement of a drug eluting intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; single ves",2013-01-01 05:00:00,1356930000000.0
G0291,"Transcatheter placement of a drug eluting intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; each addit",2013-01-01 05:00:00,1356930000000.0
G0293,"Noncovered surgical procedure(s) using conscious sedation, regional, general or spinal anesthesia in a medicare qualifying clinical trial, per day    ",2003-01-01 05:00:00,
G0294,"Noncovered procedure(s) using either no anesthesia or local anesthesia only, in a medicare qualifying clinical trial, per day                         ",2003-01-01 05:00:00,
G0295,"Electromagnetic therapy, to one or more areas, for wound care other than described in g0329 or for other uses                                         ",2004-07-01 04:00:00,
G0302,"Pre-operative pulmonary surgery services for preparation for lvrs, complete course of services, to include a minimum of 16 days of services           ",2004-01-01 05:00:00,
G0303,"Pre-operative pulmonary surgery services for preparation for lvrs, 10 to 15 days of services                                                          ",2004-01-01 05:00:00,
G0304,"Pre-operative pulmonary surgery services for preparation for lvrs, 1 to 9 days of services                                                            ",2004-01-01 05:00:00,
G0305,"Post-discharge pulmonary surgery services after lvrs, minimum of 6 days of services                                                                   ",2004-01-01 05:00:00,
G0306,"Complete cbc, automated (hgb, hct, rbc, wbc, without platelet count) and automated wbc differential count                                             ",2009-01-01 05:00:00,
G0328,"Colorectal cancer screening; fecal occult blood test, immunoassay, 1-3 simultaneous                                                                   ",2004-01-01 05:00:00,
G0329,"Electromagnetic therapy, to one or more areas for chronic stage iii and stage iv pressure ulcers, arterial ulcers, diabetic ulcers and venous stasis  ",2004-07-01 04:00:00,
G0333,Pharmacy dispensing fee for inhalation drug(s); initial 30-day supply as a beneficiary                                                                ,2006-01-01 05:00:00,
G0339,"Image-guided robotic linear accelerator-based stereotactic radiosurgery, complete course of therapy in one session or first session of fraction       ",2014-01-01 05:00:00,
G0340,"Image-guided robotic linear accelerator-based stereotactic radiosurgery, delivery including collimator changes and custom plugging, fractionate       ",2014-01-01 05:00:00,
G0341,"Percutaneous islet cell transplant, includes portal vein catheterization and infusion                                                                 ",2004-10-01 04:00:00,
G0342,"Laparoscopy for islet cell transplant, includes portal vein catheterization and infusion                                                              ",2004-10-01 04:00:00,
G0343,"Laparotomy for islet cell transplant, includes portal vein catheterization and infusion                                                               ",2004-10-01 04:00:00,
G0364,Bone marrow aspiration performed with bone marrow biopsy through the same incision on the same date of service                                        ,2015-01-01 05:00:00,
G0365,Vessel mapping of vessels for hemodialysis access (services for preoperative vessel mapping prior to creation of hemodialysis access using an autog   ,2005-01-01 05:00:00,
G0372,Physician service required to establish and document the need for a power mobility device                                                             ,2005-10-25 04:00:00,
G0380,Level 1 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requiremen     ,2008-01-01 05:00:00,
G0381,Level 2 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requiremen     ,2008-01-01 05:00:00,
G0382,Level 3 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requiremen     ,2008-01-01 05:00:00,
G0383,Level 4 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requiremen     ,2008-01-01 05:00:00,
G0384,Level 5 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requiremen     ,2008-01-01 05:00:00,
G0389,Ultrasound b-scan and/or real time with image documentation; for abdominal aortic aneurysm (aaa) screening                                            ,2007-01-01 05:00:00,
G0396,"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes                ",2008-01-01 05:00:00,
G0397,"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and intervention, greater than 30 minutes              ",2008-01-01 05:00:00,
G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory eff ",2008-03-13 04:00:00,
G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxyge ",2008-03-13 04:00:00,
G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels                                                                ",2008-03-13 04:00:00,
G0402,"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment    ",2009-01-01 05:00:00,
G0403,"Electrocardiogram, routine ecg with 12 leads; performed as a screening for the initial preventive physical examination with interpretation and report ",2009-01-01 05:00:00,
G0404,"Electrocardiogram, routine ecg with 12 leads; tracing only, without interpretation and report, performed as a screening for the initial pr            ",2009-01-01 05:00:00,
G0405,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only, performed as a screening for the initial preventive physical examinati  ",2009-01-01 05:00:00,
G0406,"Follow-up inpatient consultation, limited, physicians typically spend 15 minutes communicating with the patient via telehealth                        ",2012-01-01 05:00:00,
G0407,"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth                   ",2012-01-01 05:00:00,
G0408,"Follow-up inpatient consultation, complex, physicians typically spend 35 minutes communicating with the patient via telehealth                        ",2012-01-01 05:00:00,
G0409,"Social work and psychological services, directly relating to and/or furthering the patient's rehabilitation goals, each 15 minutes, face-to-face; ind ",2009-01-01 05:00:00,
G0410,"Group psychotherapy other than of a multiple-family group, in a partial hospitalization setting, approximately 45 to 50 minutes                       ",2009-01-01 05:00:00,
G0411,"Interactive group psychotherapy, in a partial hospitalization setting, approximately 45 to 50 minutes                                                 ",2009-01-01 05:00:00,
G0412,"Open treatment of iliac spine(s), tuberosity avulsion, or iliac wing fracture(s), unilateral or bilateral for pelvic bone fracture patterns           ",2009-01-01 05:00:00,
G0413,"Percutaneous skeletal fixation of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unil        ",2009-01-01 05:00:00,
G0414,"Open treatment of anterior pelvic bone fracture and/or dislocation for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, inclu",2009-01-01 05:00:00,
G0415,"Open treatment of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilater       ",2009-01-01 05:00:00,
G0416,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method                                                        ",2015-01-01 05:00:00,
G0417,"Surgical pathology, gross and microscopic examination, for prostate needle biopsy, any method, 21-40 specimens                                        ",2015-01-01 05:00:00,1420002000000.0
G0418,"Surgical pathology, gross and microscopic examination, for prostate needle biopsy, any method, 41-60 specimens                                        ",2015-01-01 05:00:00,1420002000000.0
G0419,"Surgical pathology, gross and microscopic examination, for prostate needle biopsy, any method, >60 specimens                                          ",2015-01-01 05:00:00,1420002000000.0
G0420,"Face-to-face educational services related to the care of chronic kidney disease; individual, per session, per one hour                                ",2010-01-01 05:00:00,
G0421,"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour                                     ",2010-01-01 05:00:00,
G0422,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring with exercise, per session                                                ",2010-01-01 05:00:00,
G0423,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring; without exercise, per session                                            ",2010-01-01 05:00:00,
G0424,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two sessions per day                                 ",2010-01-01 05:00:00,
G0425,"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth                ",2012-01-01 05:00:00,
G0426,"Telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth                ",2012-01-01 05:00:00,
G0427,"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth        ",2012-01-01 05:00:00,
G0428,"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi, collagen scaffold, menaflex)                                             ",2010-05-25 04:00:00,
G0429,"Dermal filler injection(s) for the treatment of facial lipodystrophy syndrome (lds) (e.g., as a result of highly active antiretroviral therapy)       ",2010-03-23 04:00:00,
G0431,"Drug screen, qualitative; multiple drug classes by high complexity test method (e.g., immunoassay, enzyme assay), per patient encounter               ",2014-01-01 05:00:00,
G0432,"Infectious agent antibody detection by enzyme immunoassay (eia) technique, hiv-1 and/or hiv-2, screening                                              ",2010-10-01 04:00:00,
G0433,"Infectious agent antibody detection by enzyme-linked immunosorbent assay (elisa) technique, hiv-1 and/or hiv-2, screening                             ",2013-01-01 05:00:00,
G0434,"Drug screen, other than chromatographic; any number of drug classes, by clia waived test or moderate complexity test, per patient encounter           ",2013-01-01 05:00:00,
G0435,"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening                                                             ",2010-10-01 04:00:00,
G0436,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes                   ",2011-01-01 05:00:00,
G0437,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes                                       ",2011-01-01 05:00:00,
G0438,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit                                                        ",2011-01-01 05:00:00,
G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit                                                     ",2011-01-01 05:00:00,
G0440,"Application of tissue cultured allogeneic skin substitute or dermal substitute; for use on lower limb, includes the site preparation and debridement i",2012-01-01 05:00:00,1325307600000.0
G0441,"Application of tissue cultured allogeneic skin substitute or dermal substitute; for use on lower limb, includes the site preparation and debridement i",2012-01-01 05:00:00,1325307600000.0
G0445,"High intensity behavioral counseling to prevent sexually transmitted infection; face-to-face, individual, includes: education, skills training and gui",2011-11-08 05:00:00,
G0446,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes                                                  ",2011-11-08 05:00:00,
G0448,"Insertion or replacement of a permanent pacing cardioverter-defibrillator system with transvenous lead(s), single or dual chamber with insertion      ",2015-01-01 05:00:00,
G0451,"Development testing, with interpretation and report, per standardized instrument form                                                                 ",2012-01-01 05:00:00,
G0453,"Continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed ex         ",2013-01-01 05:00:00,
G0454,"Physician documentation of face-to-face visit for durable medical equipment determination performed by nurse practitioner, physician assistant or     ",2013-01-01 05:00:00,
G0455,"Preparation with instillation of fecal microbiota by any method, including assessment of donor specimen                                               ",2013-01-01 05:00:00,
G0456,"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection) using a mechanically-powered device, not durable medical equipment, in    ",2015-01-01 05:00:00,1420002000000.0
G0457,"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection) using a mechanically-powered device, not durable medical equipment, in    ",2015-01-01 05:00:00,1420002000000.0
G0459,"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy  ",2012-08-02 04:00:00,
G0460,"Autologous platelet rich plasma for chronic wounds/ulcers, incuding phlebotomy, centrifugation, and all other preparatory procedures, administration a",2012-08-02 04:00:00,
G0461,"Immunohistochemistry or immunocytochemistry, per specimen; first single or multiplex antibody stain                                                   ",2015-01-01 05:00:00,1420002000000.0
G0462,"Immunohistochemistry or immunocytochemistry, per specimen; each additional single or multiplex antibody stain (list separately in addition to cod     ",2015-01-01 05:00:00,1420002000000.0
G0463,Hospital outpatient clinic visit for assessment and management of a patient                                                                           ,2014-01-01 05:00:00,
G0464,"Colorectal cancer screening; stool-based dna and fecal occult hemoglobin (e.g., kras, ndrg4 and bmp3)                                                 ",2015-01-01 05:00:00,
G0466,"Federally qualified health center (fqhc) visit, new patient; a medically-necessary, face-to-face encounter (one-on-one) between a new                 ",2014-10-01 04:00:00,
G0467,"Federally qualified health center (fqhc) visit, established patient; a medically-necessary, face-to-face encounter (one-on-one) between an es         ",2014-10-01 04:00:00,
G0468,"Federally qualified health center (fqhc) visit, ippe or awv; a fqhc visit that includes an initial preventive physical examination (ippe) or annual w ",2014-10-01 04:00:00,
G0469,"Federally qualified health center (fqhc) visit, mental health, new patient; a medically-necessary, face-to-face mental health encounter (one-on-one)  ",2014-10-01 04:00:00,
G0470,"Federally qualified health center (fqhc) visit, mental health, established patient; a medically-necessary, face-to-face mental health encounter       ",2014-10-01 04:00:00,
G0471,Collection of venous blood by venipuncture or urine sample by catheterization from an individual in a skilled nursing facility (snf) or by a laborat  ,2014-04-01 04:00:00,
G0472,"Hepatitis c antibody screening, for individual at high risk and other covered indication(s)                                                           ",2014-06-02 04:00:00,
G0473,"Face-to-face behavioral counseling for obesity, group (2-10), 30 minutes                                                                              ",2015-01-01 05:00:00,
G0908,Most recent hemoglobin (hgb) level > 12.0 g/dl                                                                                                        ,2015-01-01 05:00:00,1420002000000.0
G0909,"Hemoglobin level measurement not documented, reason not given                                                                                         ",2015-01-01 05:00:00,1420002000000.0
G0910,Most recent hemoglobin level <= 12.0 g/dl                                                                                                             ,2015-01-01 05:00:00,1420002000000.0
G0913,Improvement in visual function achieved within 90 days following cataract surgery                                                                     ,2012-01-01 05:00:00,
G0915,Improvement in visual function not achieved within 90 days following cataract surgery                                                                 ,2012-01-01 05:00:00,
G0919,Influenza immunization ordered or recommended (to be given at alternate location or alternate provider); vaccine not available at time of visi        ,2015-01-01 05:00:00,1420002000000.0
G0920,"Type, anatomic location, and activity all documented                                                                                                  ",2015-01-01 05:00:00,1420002000000.0
G0921,"Documentation of patient reason(s) for not being able to assess (e.g., patient refuses endoscopic and/or radiologic assessment)                       ",2015-01-01 05:00:00,1420002000000.0
G0922,"No documentation of disease type, anatomic location, and activity, reason not given                                                                   ",2015-01-01 05:00:00,1420002000000.0
G6001,Ultrasonic guidance for placement of radiation therapy fields                                                                                         ,2015-01-01 05:00:00,
G6002,Stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy                                                   ,2015-01-01 05:00:00,
G6003,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: up to 5mev                     ",2015-01-01 05:00:00,
G6004,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 6-10mev                        ",2015-01-01 05:00:00,
G6005,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 11-19mev                       ",2015-01-01 05:00:00,
G6006,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 20mev or greater               ",2015-01-01 05:00:00,
G6007,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: up to 5mev              ",2015-01-01 05:00:00,
G6008,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: 6-10mev                 ",2015-01-01 05:00:00,
G6009,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: 11-19mev                ",2015-01-01 05:00:00,
G6010,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: 20 mev or greater       ",2015-01-01 05:00:00,
G6011,"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, ele        ",2015-01-01 05:00:00,
G6012,"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, ele        ",2015-01-01 05:00:00,
G6013,"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, ele        ",2015-01-01 05:00:00,
G6014,"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, ele        ",2015-01-01 05:00:00,
G6015,"Intensity modulated treatment delivery, single or multiple fields/arcs,via narrow spatially and temporally modulated beams, binary, dynamic mlc,      ",2015-01-01 05:00:00,
G6016,Compensator-based beam modulation treatment delivery of inverse planned treatment using 3 or more high resolution (milled or cast) compensator        ,2015-01-01 05:00:00,
G6017,"Intra-fraction localization and tracking of target or patient motion during delivery of radiation therapy (eg,3d positional tracking, gating, 3d s    ",2015-01-01 05:00:00,
G6018,"Ileoscopy,through stoma; with transendoscopic stent placement (includes predilation)                                                                  ",2015-01-01 05:00:00,
G6019,"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar caute       ",2015-01-01 05:00:00,
G6020,Colonoscopy through stoma; with transendoscopic stent placement (includes predilation)                                                                ,2015-01-01 05:00:00,
G6021,"Unlisted procedure, intestine                                                                                                                         ",2015-01-01 05:00:00,
G6022,"Sigmoidoscopy, flexible; with ablation of tumor(s), polyp(s), or other lesions(s) not amenable to removal by hot biopsy forceps, bipolar caut         ",2015-01-01 05:00:00,
G6023,"Sigmoidoscopy, flexible; with transendoscopic stent placement (includes predilation)                                                                  ",2015-01-01 05:00:00,
J1725,"Injection, hydroxyprogesterone caproate, 1 mg                                                                                                         ",2018-01-01 05:00:00,1514696400000.0
J1726,"Injection, hydroxyprogesterone caproate, (makena), 10 mg                                                                                              ",2018-01-01 05:00:00,
J1729,"Injection, hydroxyprogesterone caproate, not otherwise specified, 10 mg                                                                               ",2018-01-01 05:00:00,
G0444,"ANNUAL DEPRESSION SCREENING, 15 MINUTES                                                                                                               ",2011-10-14 04:00:00,
G0445,"HIGH INTENSITY BEHAVIORAL COUNSELING TO PREVENT SEXUALLY TRANSMITTED INFECTION;FACE-TO-FACE, INDIVIDUAL, INCLUDES: EDUCATION, SKILLS TRAINING AND GUI ",2011-11-08 05:00:00,
G0446,"INTENSIVE BEHAVIORAL THERAPY TO REDUCE CARDIOVASCULAR DISEASE RISK, INDIVIDUAL,FACE-TO-FACE, BI-ANNUAL, 15 MINUTES                                    ",2011-11-08 05:00:00,
G0447,"FACE-TO-FACE BEHAVIORAL COUNSELING FOR OBESITY, 15 MINUTES                                                                                            ",2011-11-29 05:00:00,
G0448,"INSERTION OR REPLACEMENT OF A PERMANENT PACING CARDIOVERTER-DEFIBRILLATORSYSTEM WITH TRANSVENOUS LEAD(S), SINGLE OR DUAL CHAMBER WITH INSERTION       ",2012-01-01 05:00:00,
G0449,"ANNUAL FACE-TO-FACE OBESITY SCREENING, 15 MINUTES                                                                                                     ",2011-11-29 05:00:00,
G0450,"SCREENING FOR SEXUALLY TRANSMITTED INFECTIONS, INCLUDES LABORATORY TESTS FORCHLAMYDIA, GONORRHEA, SYPHILIS AND HEPATITIS B                            ",2011-11-08 05:00:00,
G0451,"DEVELOPMENT TESTING, WITH INTERPRETATION AND REPORT, PER STANDARDIZEDINSTRUMENT FORM                                                                  ",2012-01-01 05:00:00,
G0908,MOST RECENT HEMOGLOBIN (HGB) LEVEL > 12.0 G/DL                                                                                                        ,2012-01-01 05:00:00,
G0909,"HEMOGLOBIN LEVEL MEASUREMENT NOT DOCUMENTED, REASON NOT OTHERWISE SPECIFIED                                                                           ",2012-01-01 05:00:00,
G0910,MOST RECENT HEMOGLOBIN LEVEL <= 12.0 G/DL                                                                                                             ,2012-01-01 05:00:00,
G0911,ASSESSED LEVEL OF ACTIVITY AND SYMPTOMS                                                                                                               ,2012-01-01 05:00:00,
G0912,LEVEL OF ACTIVITY AND SYMPTOMS NOT ASSESSED                                                                                                           ,2012-01-01 05:00:00,
G0913,IMPROVEMENT IN VISUAL FUNCTION ACHIEVED WITHIN 90 DAYS FOLLOWING CATARACTSURGERY                                                                      ,2012-01-01 05:00:00,
G0914,PATIENT CARE SURVEY WAS NOT COMPLETED BY PATIENT                                                                                                      ,2012-01-01 05:00:00,
G0915,IMPROVEMENT IN VISUAL FUNCTION NOT ACHIEVED WITHIN 90 DAYS FOLLOWING CATARACTSURGERY                                                                  ,2012-01-01 05:00:00,
G0916,SATISFACTION WITH CARE ACHIEVED WITHIN 90 DAYS FOLLOWING CATARACT SURGERY                                                                             ,2012-01-01 05:00:00,
G0917,PATIENT SATISFACTION SURVEY WAS NOT COMPLETED BY PATIENT                                                                                              ,2012-01-01 05:00:00,
G0918,SATISFACTION WITH CARE NOT ACHIEVED WITHIN 90 DAYS FOLLOWING CATARACT SURGERY                                                                         ,2012-01-01 05:00:00,
G8378,CLINICIAN DOCUMENTATION THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FORRADIATION THERAPY MEASURE                                                       ,2007-07-01 04:00:00,
G8379,DOCUMENTATION OF RADIATION THERAPY RECOMMENDED WITHIN 12 MONTHS OF FIRST OFFICEVISIT                                                                  ,2007-07-01 04:00:00,
G8380,"FOR PATIENTS WITH ER OR PR POSITIVE, STAGE IC-III BREAST CANCER, CLINICIAN DIDNOT DOCUMENT THAT THE PATIENT RECEIVED OR WAS PRESCRIBED TAMOXIFEN OR   ",2007-07-01 04:00:00,
