hcpcs_code,hcpcs_desc,hcpcs_effectivedt,hcpcs_terminationdt
L5250,"HIP DISARTICULATION, CANADIAN TYPE; MOLDED SOCKET, HIP JOINT, SINGLE AXISCONSTANT FRICTION KNEE, SHIN, SACH FOOT                                      ",1996-01-01 05:00:00,
L5270,"HIP DISARTICULATION, TILT TABLE TYPE; MOLDED SOCKET, LOCKING HIP JOINT, SINGLEAXIS CONSTANT FRICTION KNEE, SHIN, SACH FOOT                            ",1996-01-01 05:00:00,
L5280,"HEMIPELVECTOMY, CANADIAN TYPE; MOLDED SOCKET, HIP JOINT, SINGLE AXIS CONSTANTFRICTION KNEE, SHIN, SACH FOOT                                           ",1996-01-01 05:00:00,
L5301,"BELOW KNEE, MOLDED SOCKET, SHIN, SACH FOOT, ENDOSKELETAL SYSTEM                                                                                       ",2002-01-01 05:00:00,
L5311,"KNEE DISARTICULATION (OR THROUGH KNEE), MOLDED SOCKET, EXTERNAL KNEE JOINTS,SHIN, SACH FOOT, ENDOSKELETAL SYSTEM                                      ",2002-01-01 05:00:00,
L5321,"ABOVE KNEE, MOLDED SOCKET, OPEN END, SACH FOOT, ENDOSKELETAL SYSTEM, SINGLEAXIS KNEE                                                                  ",2002-01-01 05:00:00,
L5331,"HIP DISARTICULATION, CANADIAN TYPE, MOLDED SOCKET, ENDOSKELETAL SYSTEM, HIPJOINT, SINGLE AXIS KNEE, SACH FOOT                                         ",2002-01-01 05:00:00,
L5341,"HEMIPELVECTOMY, CANADIAN TYPE, MOLDED SOCKET, ENDOSKELETAL SYSTEM, HIP JOINT,SINGLE AXIS KNEE, SACH FOOT                                              ",2002-01-01 05:00:00,
L5400,"IMMEDIATE POST SURGICAL OR EARLY FITTING, APPLICATION OF INITIAL RIGIDDRESSING, INCLUDING FITTING, ALIGNMENT, SUSPENSION, AND ONE CAST CHANG          ",1996-01-01 05:00:00,
L5410,"IMMEDIATE POST SURGICAL OR EARLY FITTING, APPLICATION OF INITIAL RIGIDDRESSING, INCLUDING FITTING, ALIGNMENT AND SUSPENSION, BELOW KNEE, EAC          ",1996-01-01 05:00:00,
L5420,"IMMEDIATE POST SURGICAL OR EARLY FITTING, APPLICATION OF INITIAL RIGIDDRESSING, INCLUDING FITTING, ALIGNMENT AND SUSPENSION AND ONE CAST CHA          ",1996-01-01 05:00:00,
L5430,"IMMEDIATE POST SURGICAL OR EARLY FITTING, APPLICATION OF INITIAL RIGIDDRESSING, INCL. FITTING, ALIGNMENT AND SUPENSION, 'AK' OR KNEE DISARTI          ",1996-01-01 05:00:00,
L5450,"IMMEDIATE POST SURGICAL OR EARLY FITTING, APPLICATION OF NON-WEIGHT BEARINGRIGID DRESSING, BELOW KNEE                                                 ",1996-01-01 05:00:00,
L5460,"IMMEDIATE POST SURGICAL OR EARLY FITTING, APPLICATION OF NON-WEIGHT BEARINGRIGID DRESSING, ABOVE KNEE                                                 ",1996-01-01 05:00:00,
L5500,"INITIAL, BELOW KNEE 'PTB' TYPE SOCKET, NON-ALIGNABLE SYSTEM, PYLON, NO COVER,SACH FOOT, PLASTER SOCKET, DIRECT FORMED                                 ",1996-01-01 05:00:00,
L5505,"INITIAL, ABOVE KNEE - KNEE DISARTICULATION, ISCHIAL LEVEL SOCKET, NON-ALIGNABLESYSTEM, PYLON, NO COVER, SACH FOOT, PLASTER SOCKET, DIRECT FORMED      ",1996-01-01 05:00:00,
L6360,"INTERSCAPULAR THORACIC, PASSIVE RESTORATION (COMPLETE PROSTHESIS)                                                                                     ",1996-01-01 05:00:00,
L6590,"PREPARATORY, SHOULDER DISARTICULATION OR INTERSCAPULAR THORACIC, SINGLE WALLSOCKET, SHOULDER JOINT, LOCKING ELBOW, FRICTION WRIST, CHEST STRAP, FA    ",1996-01-01 05:00:00,
L6600,"UPPER EXTREMITY ADDITIONS, POLYCENTRIC HINGE, PAIR                                                                                                    ",1996-01-01 05:00:00,
L6605,"UPPER EXTREMITY ADDITIONS, SINGLE PIVOT HINGE, PAIR                                                                                                   ",1996-01-01 05:00:00,
L6610,"UPPER EXTREMITY ADDITIONS, FLEXIBLE METAL HINGE, PAIR                                                                                                 ",1996-01-01 05:00:00,
L6611,"ADDITION TO UPPER EXTREMITY PROSTHESIS, EXTERNAL POWERED, ADDITIONAL SWITCH,ANY TYPE                                                                  ",2007-01-01 05:00:00,
L6615,"UPPER EXTREMITY ADDITION,  DISCONNECT LOCKING WRIST UNIT                                                                                              ",1996-01-01 05:00:00,
C9292,"INJECTION, PERTUZUMAB, 10 MG                                                                                                                          ",2012-10-01 04:00:00,
C9293,"INJECTION, GLUCARPIDASE, 10 UNITS                                                                                                                     ",2012-10-01 04:00:00,
L7045,"ELECTRIC HOOK, SWITCH OR MYOELECTRIC CONTROLLED, PEDIATRIC                                                                                            ",2007-01-01 05:00:00,
L7170,"ELECTRONIC ELBOW, HOSMER OR EQUAL, SWITCH CONTROLLED                                                                                                  ",1996-01-01 05:00:00,
L7180,"ELECTRONIC ELBOW, MICROPROCESSOR SEQUENTIAL CONTROL OF ELBOW AND TERMINAL DEVICE                                                                      ",2005-01-01 05:00:00,
L7181,"ELECTRONIC ELBOW, MICROPROCESSOR SIMULTANEOUS CONTROL OF ELBOW AND TERMINALDEVICE                                                                     ",2005-01-01 05:00:00,
L7185,"ELECTRONIC ELBOW, ADOLESCENT, VARIETY VILLAGE OR EQUAL, SWITCH CONTROLLED                                                                             ",1996-01-01 05:00:00,
L7186,"ELECTRONIC ELBOW, CHILD, VARIETY VILLAGE OR EQUAL, SWITCH CONTROLLED                                                                                  ",1996-01-01 05:00:00,
L7190,"ELECTRONIC ELBOW, ADOLESCENT, VARIETY VILLAGE OR EQUAL, MYOELECTRONICALLYCONTROLLED                                                                   ",1996-01-01 05:00:00,
L7191,"ELECTRONIC ELBOW, CHILD, VARIETY VILLAGE OR EQUAL, MYOELECTRONICALLY CONTROLLED                                                                       ",1996-01-01 05:00:00,
L7260,"ELECTRONIC WRIST ROTATOR, OTTO BOCK OR EQUAL                                                                                                          ",1996-01-01 05:00:00,
L7261,"ELECTRONIC WRIST ROTATOR, FOR UTAH ARM                                                                                                                ",1996-01-01 05:00:00,
L7266,"SERVO CONTROL, STEEPER OR EQUAL                                                                                                                       ",1996-01-01 05:00:00,
L7272,"ANALOGUE CONTROL, UNB OR EQUAL                                                                                                                        ",1996-01-01 05:00:00,
L7274,"PROPORTIONAL CONTROL, 6-12 VOLT, LIBERTY, UTAH OR EQUAL                                                                                               ",1997-01-01 05:00:00,
L7360,"SIX VOLT BATTERY, EACH                                                                                                                                ",2008-01-01 05:00:00,
L7362,"BATTERY CHARGER, SIX VOLT, EACH                                                                                                                       ",2008-01-01 05:00:00,
L7364,"TWELVE VOLT BATTERY, EACH                                                                                                                             ",2008-01-01 05:00:00,
L7366,"BATTERY CHARGER, TWELVE VOLT, EACH                                                                                                                    ",2008-01-01 05:00:00,
L7367,"LITHIUM ION BATTERY, REPLACEMENT                                                                                                                      ",2003-01-01 05:00:00,
L7368,LITHIUM ION BATTERY CHARGER                                                                                                                           ,2003-01-01 05:00:00,
L7400,"ADDITION TO UPPER EXTREMITY PROSTHESIS, BELOW ELBOW/WRIST DISARTICULATION,ULTRALIGHT MATERIAL (TITANIUM, CARBON FIBER OR EQUAL)                       ",2006-01-01 05:00:00,
